,File,Duration (Sec),Text Length,Speaking Length (ms),Spealing Percentage
0,2RpZkeaTIm4_0000,5.8,10,3.6999999999999997,0.6379310344827586
1,2RpZkeaTIm4_0001,4.3,10,3.5,0.813953488372093
2,2RpZkeaTIm4_0002,5.6,10,2.8,0.5
3,2RpZkeaTIm4_0003,6.7,10,4.1,0.6119402985074626
4,2RpZkeaTIm4_0004,4.7,10,3.0,0.6382978723404255
5,2RpZkeaTIm4_0005,4.4,10,3.5000000000000004,0.7954545454545455
6,2RpZkeaTIm4_0006,5.2,9,3.6,0.6923076923076923
7,2RpZkeaTIm4_0007,4.2,9,2.6999999999999997,0.6428571428571428
8,2RpZkeaTIm4_0008,4.5,10,3.8000000000000003,0.8444444444444446
9,2RpZkeaTIm4_0009,5.1,10,2.7999999999999994,0.5490196078431372
10,2RpZkeaTIm4_0010,7.3,9,5.000000000000001,0.6849315068493153
11,2RpZkeaTIm4_0011,6.8,10,4.1000000000000005,0.6029411764705883
12,2RpZkeaTIm4_0012,6.8,10,3.6999999999999997,0.5441176470588235
13,2RpZkeaTIm4_0013,6.9,10,4.299999999999999,0.6231884057971012
14,2RpZkeaTIm4_0014,5.8,9,3.3999999999999986,0.5862068965517239
15,2RpZkeaTIm4_0015,6.4,10,4.4,0.6875
16,2RpZkeaTIm4_0016,5.7,10,3.8999999999999995,0.6842105263157894
17,2RpZkeaTIm4_0017,7.3,9,5.0,0.684931506849315
18,2RpZkeaTIm4_0018,3.9,10,3.0,0.7692307692307693
19,2RpZkeaTIm4_0019,6.8,10,4.300000000000001,0.6323529411764707
20,2RpZkeaTIm4_0020,4.9,10,3.7000000000000006,0.7551020408163266
21,2RpZkeaTIm4_0021,7.2,10,5.0,0.6944444444444444
22,2RpZkeaTIm4_0022,6.8,10,4.200000000000001,0.6176470588235295
23,2RpZkeaTIm4_0023,6.3,10,2.8999999999999995,0.46031746031746024
24,2RpZkeaTIm4_0024,7.5,11,4.300000000000001,0.5733333333333335
25,2RpZkeaTIm4_0025,5.4,9,4.2,0.7777777777777778
26,2RpZkeaTIm4_0026,2.3,3,1.5999999999999999,0.6956521739130435
27,2RpZkeaTIm4_0027,4.6,8,1.8999999999999995,0.41304347826086946
28,2RpZkeaTIm4_0028,7.5,10,4.700000000000001,0.6266666666666668
29,2RpZkeaTIm4_0029,5.3,9,3.1999999999999993,0.6037735849056602
30,2RpZkeaTIm4_0030,5.2,9,3.3,0.6346153846153846
31,2RpZkeaTIm4_0031,3.3,6,1.4,0.42424242424242425
32,2RpZkeaTIm4_0032,5.9,10,4.4,0.7457627118644068
33,2RpZkeaTIm4_0033,6.4,9,4.6,0.7187499999999999
34,2RpZkeaTIm4_0034,4.5,10,2.9,0.6444444444444444
35,2RpZkeaTIm4_0035,7.5,11,4.4,0.5866666666666667
36,2RpZkeaTIm4_0036,5.6,9,3.8999999999999995,0.6964285714285714
37,2RpZkeaTIm4_0037,4.8,9,3.5999999999999996,0.75
38,2RpZkeaTIm4_0038,5.6,10,4.5,0.8035714285714286
39,2RpZkeaTIm4_0039,5.3,10,3.6999999999999997,0.6981132075471698
40,2RpZkeaTIm4_0040,4.1,10,3.2999999999999994,0.8048780487804877
41,2RpZkeaTIm4_0041,7.2,10,5.6000000000000005,0.7777777777777778
42,2RpZkeaTIm4_0042,6.1,10,4.7,0.7704918032786886
43,2RpZkeaTIm4_0043,5.4,10,4.100000000000001,0.7592592592592595
